店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
大型店,スポーツカムイ　水戸店,水戸市笠原町978-39,https://goo.gl/maps/dWug4EBYK6ftoByL6,小売,スポーツ用品
大型店,(株)カワチ薬品　渡里店,水戸市渡里町字新田後2713-1,https://goo.gl/maps/95w3KvLWpJm74Tm37,小売,医薬品・化粧品・雑貨・食品
大型店,紳士服のコナカ　水戸本店,水戸市千波町2023-7,https://goo.gl/maps/c3nsr3yjpziwkh396,小売,メンズスーツ・レディススーツ・フォーマル・カジュアル・シューズ・スニーカー　等
大型店,ケーズデンキ水戸本店,水戸市元吉田町上千束1944-12,https://goo.gl/maps/rjkgnyYsoEYLdigc7,小売,家電製品
大型店,(株)メガネスーパーフレスポ赤塚店,水戸市河和田1-1フレスポ赤塚内,https://goo.gl/maps/WPTyouoY1uZW9Rko6,小売,メガネ・サングラス・コンタクトレンズ・補聴器・リラクゼーション
大型店,(株)カスミ　平須店,水戸市平須町1828-36,https://goo.gl/maps/qwqx3ynae1QhZoQc9,小売,食料品
大型店,パワーマート見川店,水戸市見川2-115-4,https://goo.gl/maps/yyeDWxoZFNoic8da7,小売,野菜・果物・肉・加工食品・日配食品・惣菜
大型店,(株)カワチ薬品　浜田店,水戸市本町3-302-1,https://goo.gl/maps/H4H6uijhumpCU4HAA,小売,医薬品・化粧品・食品・雑貨
大型店,パワーマート住吉店,水戸市元吉田町1478-2,https://goo.gl/maps/j8gPTcjXGpUj73Y77,小売,野菜・果物・肉・加工食品・日配食品・惣菜
大型店,イオンスタイル水戸下市,水戸市柳町2-11-8,https://goo.gl/maps/tunzSpMGpb1itRPF7,小売,食品・酒・医薬品
大型店,ホームセンター山新　赤塚店,水戸市大塚町1859-1,https://goo.gl/maps/UPNKtUMzF1U3J8qy7,小売,日用雑貨・ペット用品・園芸用品・インテリア・カー用品
大型店,京成百貨店,水戸市泉町1-6-1,https://goo.gl/maps/aEptBSQLmhiPt4zDA,小売,主に衣・食・住に関する商品
大型店,イオンスタイル水戸内原,水戸市内原2-1　,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,食品、衣料、子供用品、寝具、家庭用品、薬品等
大型店,ホームセンター　山新平須店,水戸市平須町1828,https://goo.gl/maps/dnK4tmr7gpu1ajgS7,小売,日用雑貨、家庭用品、ペット用品、農業資材
大型店,ホームセンター　山新渡里店,水戸市渡里町4086,https://goo.gl/maps/cPrjgqVj3ueZgazX7,小売,日用品・園芸用品・大工道具・農業資材など
大型店,ほぐしや本舗RirAKU,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,マッサージ
大型店,ワンダー美容室,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,美容室
大型店,ラフィネ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,マッサージ
大型店,みとのみなと,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,寿司
大型店,すし三崎丸,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,寿司
大型店,パパゲーノ,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,イタリアンレストラン
大型店,魚沼食堂,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,和食
大型店,100円ショップワッツ,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,バラエティ雑貨
大型店,クリファーム,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,小物雑貨
大型店,lucara,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,婦人服
大型店,コスメーム,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,化粧品
大型店,ユナイテッドアローズ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,衣料品
大型店,マリークヮント,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,化粧品
大型店,ゴディバ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,チョコレート
大型店,新星堂,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,CD、DVD
大型店,和幸,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,とんかつ
大型店,無印良品,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,生活雑貨
大型店,和真,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,眼鏡
大型店,エコー７１,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,婦人服
大型店,セントエリーネ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,婦人服
大型店,フォンテーヌクチュール,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,ウィッグ
大型店,ヘザー,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,婦人服
大型店,マウジー,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,婦人服
大型店,ダイアナ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,レディースシューズ
大型店,ＪＩＮＳ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,眼鏡
大型店,川又書店,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,書籍
大型店,コクミン プラムストリート店,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,ドラッグストア
大型店,プラム水戸,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,土産
大型店,出羽屋,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,佃煮
大型店,コクミン,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,ドラッグストア
大型店,台所屋雑貨店,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,生活雑貨
大型店,鳥専亭,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,焼き鳥、惣菜
大型店,茨城味撰倶楽部,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,食品（土産品）、茨城名産
大型店,IBARAKIスイーツ工房,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,洋菓子
大型店,ニュークイック エクセルみなみ店,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,精肉.ハム
大型店,海鮮工房　田中,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,鮮魚
大型店,プチロコス,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,北関東名産
大型店,黄金おこわ　たごさく,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,小売,おこわ
大型店,ローリーズファーム,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,小売,婦人服
大型店,ビックカメラ水戸駅店,水戸市宮町1-7-31　エクセルみなみ4F・5F,https://goo.gl/maps/t2H6zQJ152HCtLbz6,小売,テレビ・家電・パソコン・メガネ・おもちゃ・自転車等
大型店,ヨークベニマル百合が丘店,水戸市百合が丘町8-3,https://goo.gl/maps/8zRjyMKEyARKfz1E8,小売,食料品、日用品
大型店,(株)カスミ　フードオフストッカー　常澄店,水戸市東前町790,https://goo.gl/maps/rrSBCmwzVWJwdGWW9,小売,食料品
大型店,ホームセンター　山新水戸駅南店,水戸市千波町字かち道909,https://goo.gl/maps/fL1pBJ9vwPwWkA4dA,小売,日用雑貨・家電製品・ペット用品・園芸用品・インテリア・カー用品
大型店,フードオフ　ストッカー　元吉田店,水戸市元吉田町1166-7,https://goo.gl/maps/VsQmNCnncQG2djkR9,小売,食料品
大型店,(株)カスミ　フードスクエア　水戸赤塚店,水戸市河和田1-1,https://goo.gl/maps/XYqApaxLsFvPWKTw7,小売,食料品
大型店,(株)カスミ　フードスクエア　水戸堀町店,水戸市堀町新田1021-2,https://goo.gl/maps/eaR6xr55tgDXdjnF9,小売,食品
